frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"68","Mar 27, 2025 11:29:49.275400000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"69","Mar 27, 2025 11:29:49.275400000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"70","Mar 27, 2025 11:29:49.275425000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"71","Mar 27, 2025 11:29:49.275425000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"72","Mar 27, 2025 11:29:49.275425000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"73","Mar 27, 2025 11:29:49.275453000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"74","Mar 27, 2025 11:29:49.275453000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"75","Mar 27, 2025 11:29:49.275453000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"76","Mar 27, 2025 11:29:49.275479000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"77","Mar 27, 2025 11:29:49.275479000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"78","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"79","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"80","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"81","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"82","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"83","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"84","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"85","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"86","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"87","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"88","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"89","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
